Sample name,Site,Sample_type,Exposure,Temperature,pH,Conductivity,TC,TN,GWC,Al,As,B,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Se,Sr,Tl,U,V,Zn
Circum10-ITS,Circum,Circum,Subglacial,,,,,,,57300,50.2,16,321,11700,0.12,1.77,3.6,2.6,37100,26900,4110,1410,37800,1.7,2320,93.6,0,2.7,159,0.75,5.72,2.8,114
Crater1-0-1cm-ITS,Side crater,Side crater,Exposed,,,,,,,61700,0,0,369,9940,0,3.17,34.5,0,41600,15800,6260,2080,24200,0,0,11.6,0,0,128,0,5.94,0,0
Crater2-Mat-ITS,Side crater,Side crater,Exposed,,5.15,38.3,,,36.96498054,127382.153,36.621,11.821,541.363,10822.485,1.117,1.853,2.433,1.823,31638.827,25225.942,4934.217,1225.141,32457.057,0,1845.671,56.233,613.016,15.814,89.312,0.425,11.686,3.657,114.011
ERB-1A-ITS,Tramway Ridge,Tramway Ridge,Exposed,65,8.35,81.6,0.62,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Harrys-Dream-ITS,Harrys Dream,Cave,Subglacial,8.6,6.34,63.1,0.025,0.006,20.51,69900,35,12,323,13500,0.1,2.17,1.1,3.3,37300,31100,5800,1850,45800,0.64,2210,44.3,0,2.2,173,0.18,6.41,2,180
Harrys-Dream-Vent-ITS,Harrys Dream,Cave,Subglacial,8.1,5.93,8.88,,,,74500,17,21,357,15100,0.098,2.26,1.4,2.2,37500,34400,5880,1890,49700,0.42,2420,27.6,0,2.8,192,0,6.5,2.3,138
Helocave-ITS,Helo Cave,Cave,Subglacial,7.1,5.79,77.1,0.025,0.004,16.86,130000,33.83,43.53,296.46,11013.91,0.11,2.64,29.99,2.56,37780.27,35000,5513.87,1620.6,50000,18.41,1539.16,54.47,1291.96,2.18,182.51,0.39,5.04,2.5,113.95
TR2-24-ITS,Tramway Ridge,Tramway Ridge,Exposed,24,4.53,290,0.355,0.149,49.83,39088.427,5.35,79.89,295.181,1568.983,0.948,2.402,23.373,1.646,61122.351,2109.439,2299.258,2540.601,2693.617,0.96,873.164,13.697,1598.221,2.393,44.925,0.169,5.485,7.285,85.937
TR2-34-ITS,Tramway Ridge,Tramway Ridge,Exposed,34,5.75,957,1.294,0.305,42.33,93913.38,5.071,84.522,283.63,3322.22,4.22,2.044,50.47,2.259,57661.994,9131.028,2435.435,2024.355,12882.745,1.626,1227.463,13.743,799.177,2.45,62.984,0.202,6.611,4.738,113.999
TR2-44-ITS,Tramway Ridge,Tramway Ridge,Exposed,44,4.72,218,0.338,0.057,43.19,84470.269,9.674,82.945,637.617,7687.348,0.423,1.489,41.99,0.916,17816.478,6283.748,5531.541,1174.66,8422.667,0.75,2538.689,10.344,264.398,8.152,50.286,0.091,11.735,0.759,48.533
TR2-64-ITS,Tramway Ridge,Tramway Ridge,Exposed,64,6.2,313,2.904,0.404,41.64,76003.437,11.163,82.114,374.685,6711.516,2.544,2.585,58.341,2.255,69908.916,14834.971,4201.867,1732.134,21195.863,3,1283.913,49.926,866.023,3.838,99.537,0.123,8.782,8.546,121.961
Warren-Cave-2006-ITS,Warren Cave ,Cave,Subglacial,15.2,5.82,96.1,0.039,0.006,24.55,130000,39.54,41.54,418,11305.56,0.16,2.23,1.02,3.5,37968.02,35000,5207.89,1769.84,50000,0.29,1415.63,45.94,1124.37,1.95,198.56,0.17,7.8,2.09,138.45
WC-20-ITS,Western Crater,Western Crater,Exposed,20,7.43,5.63,0.165,0.037,35.88,87388.592,8.565,79.717,507.75,8597.018,0.382,2.174,87.779,1.296,21114.197,8032.508,7565.6,1369.972,10570.557,1.417,2783.775,7.977,219.324,7.336,52.86,0.065,10.216,2.455,65.978
WC-35-ITS,Western Crater,Western Crater,Exposed,35,8.08,4.89,0.287,0.052,26.42,83805.662,10.044,81.408,640.351,7907.702,0.467,1.486,64.816,0.986,17977.07,8383.897,5445.726,1373.883,10993.123,1.596,2252.156,10.791,290.487,8.188,52.737,0.099,11.616,0,46.432
WC-40-ITS,Western Crater,Western Crater,Exposed,40,8.88,4.26,0.178,0.037,24.26,73970.092,10.983,78.971,589.806,8036.959,0.419,1.618,57.738,0.809,19034.804,5703.581,6449.164,1207.972,7357.252,0.928,2535.137,9.579,137.89,9.128,59.711,0.072,11.193,1.246,45.918
WC-50-ITS,Western Crater,Western Crater,Exposed,50,9.2,6.39,1.156,0.206,23.03,79960.45,7.416,81.289,257.915,4535.759,0.716,2.44,29.254,3.087,75346.108,10330.685,3482.424,1816.339,14740.547,1.707,1249.752,35.97,1781.111,2.774,68.456,0.08,7.464,6.659,121.98
